District ,Block,Status,Arima Prediction,Expected
ANANTAPUR,DANDINAHIREHAL ,over_exploited,upward trend,Critical
ANANTAPUR,RODDAM ,over_exploited,upward trend,Critical
ANANTAPUR,VIDAPANAKAL ,over_exploited,upward trend,Critical
ANANTAPUR,YADIKI ,over_exploited,upward trend,Critical
ANANTAPUR,GUNTAKAL ,over-exploited,upward trend,Critical
ANANTAPUR,AMADAGUR ,Saline,upward trend,NA
ANANTAPUR,BELUGUPPA ,Saline,upward trend,NA
ANANTAPUR,BOMMANAHAL ,Saline,upward trend,NA
ANANTAPUR,TALUPULA ,Saline,upward trend,NA
ANANTAPUR,URAVAKONDA ,critical,Downward trend,Over-exploited
ANANTAPUR,ANANTAPUR ,safe,upward trend,Safe
ANANTAPUR,ATMAKUR_ATP ,safe,upward trend,Safe
ANANTAPUR,BATTALAPALLE ,safe,upward trend,Safe
ANANTAPUR,BRAHMASAMUDRAM ,safe,upward trend,Safe
ANANTAPUR,BUKKARAYASAMUDRAM ,safe,upward trend,Safe
ANANTAPUR,CHENNAKOTHAPALLE ,safe,upward trend,Safe
ANANTAPUR,CHILAMATHURU ,safe,upward trend,Safe
ANANTAPUR,GANDLAPENTA ,safe,upward trend,Safe
ANANTAPUR,GARLADINNE ,Safe,upward trend,Safe
ANANTAPUR,GOOTY ,safe,upward trend,Safe
ANANTAPUR,GUMMAGATTA ,safe,upward trend,Safe
ANANTAPUR,HINDUPUR ,safe,upward trend,Safe
ANANTAPUR,KALYANDURG ,safe,upward trend,Safe
ANANTAPUR,KAMBADUR ,safe,upward trend,Safe
ANANTAPUR,KANAGANAPALLE ,safe,upward trend,Safe
ANANTAPUR,KANNEKAL ,safe,upward trend,Safe
ANANTAPUR,KOTHACHERUVU ,safe,upward trend,Safe
ANANTAPUR,LEPAKSHI ,safe,upward trend,Safe
ANANTAPUR,MADAKASIRA ,safe,upward trend,Safe
ANANTAPUR,NAMBULIPULAKUNTA ,safe,upward trend,Safe
ANANTAPUR,NARPALA ,safe,upward trend,Safe
ANANTAPUR,OBULADEVARACHERUVU ,safe,upward trend,Safe
ANANTAPUR,PAMIDI ,safe,upward trend,Safe
ANANTAPUR,PARIGI ,safe,upward trend,Safe
ANANTAPUR,PEDDAPAPPUR ,safe,upward trend,Safe
ANANTAPUR,PEDDAVADUGUR ,safe,upward trend,Safe
ANANTAPUR,PENUKONDA ,safe,upward trend,Safe
ANANTAPUR,RAMAGIRI ,safe,upward trend,Safe
ANANTAPUR,RAPTADU ,safe,upward trend,Safe
ANANTAPUR,RAYADURG ,safe,upward trend,Safe
ANANTAPUR,ROLLA ,safe,upward trend,Safe
ANANTAPUR,SETTUR ,safe,upward trend,Safe
ANANTAPUR,SINGANAMALA ,safe,upward trend,Safe
ANANTAPUR,SOMANDEPALLI ,safe,upward trend,Safe
ANANTAPUR,TADIMARRI ,safe,upward trend,Safe
ANANTAPUR,TADIPATRI ,safe,upward trend,Safe
ANANTAPUR,TANAKALLU ,safe,upward trend,Safe
ANANTAPUR,VAJRAKARUR ,safe,upward trend,Safe
ANANTAPUR,YELLANUR ,safe,upward trend,Safe
ANANTAPUR,DHARMAVARAM ,semi-critical,upward trend,Safe
ANANTAPUR,GUDIBANDA ,semi-critical,upward trend,Safe
ANANTAPUR,KADIRI ,semi-critical,upward trend,Safe
ANANTAPUR,KUDAIR ,semi-critical,upward trend,Safe
ANANTAPUR,MUDIGUBBA ,semi-critical,upward trend,Safe
ANANTAPUR,NALLACHERUVU ,semi-critical,upward trend,Safe
ANANTAPUR,PUTLUR ,semi-critical,upward trend,Safe
ANANTAPUR,NALLAMADA ,critical,upward trend,Semi-critical
ANANTAPUR,AMARAPURAM ,safe,Downward trend,Semi-critical
ANANTAPUR,PUTTAPARTHI ,safe,Downward trend,Semi-critical
CHITTOOR,TIRUPATI(U) ,over_exploited,upward trend,Critical
CHITTOOR,PAKALA ,Saline,Downward trend,NA
CHITTOOR,PALASAMUDRAM ,Saline,upward trend,NA
CHITTOOR,PEDDAPANJANI ,critical,Downward trend,Over-exploited
CHITTOOR,PULICHERLA ,critical,Downward trend,Over-exploited
CHITTOOR,B.KOTHAKOTA ,safe,upward trend,Safe
CHITTOOR,BAIREDDIPALLE ,safe,upward trend,Safe
CHITTOOR,CHANDRAGIRI ,safe,upward trend,Safe
CHITTOOR,CHINNAGOTTIGALLU ,safe,upward trend,Safe
CHITTOOR,GUDIPALA ,safe,upward trend,Safe
CHITTOOR,GUMMIDIPOONDI ,safe,upward trend,Safe
CHITTOOR,KALAKADA ,safe,upward trend,Safe
CHITTOOR,MADANAPALLE ,safe,upward trend,Safe
CHITTOOR,NINDRA ,safe,upward trend,Safe
CHITTOOR,PALAMANER ,safe,upward trend,Safe
CHITTOOR,PUNGANUR ,safe,upward trend,Safe
CHITTOOR,TIRUPATI(R) ,safe,upward trend,Safe
CHITTOOR,VALMIKI PURAM ,safe,upward trend,Safe
