District,Stage of Ground Water Development (%)
Anantapur,88.96
Chittoor,58.92
East Godavari,21.17
Guntur,38.57
Kadapa,68.68
Krishna,36.87
Kurnool,41.81
Nellore,37.93
Prakasam,42.79
Srikakulam,48.22
Visakhapatnam,24.59
Vizianagaram,21.07
West Godavari,41.40
Anjaw,0
Changlang,0.73
Dibang Valley,0
East Kameng,0.28
East Siang,0.09
Kurung Kumey,0
Lohit,0.27
Lower Dibang Valley,0.06
Lower Subansiri,0.68
Papum Pare,1.02
Tawang,0
Tirap,0.84
Upper Siang,0
Upper Subansiri,1.68
West Kameng,0.33
West Siang,0.38
Baksa,4.77
Barpeta,20.66
Bongaigaon,20.52
Cachar,8.21
Chirang,3.10
Darrang,32.38
Dhemaji,1.75
Dhubri,24.51
Dibrugarh,5.60
Dima Hasao,20.75
Goalpara,14.49
Golaghat,5.46
Hailakandi,4.94
Jorhat,7.57
Kamrup,30.21
Kamrup Metro (Rural),13.80
Kamrup Metro (U),45.34
Karbi Anglong,4.77
Karimganj,2.79
Kokrajhar,3.31
Lakhimpur,4.85
Morigaon,30.47
Nagaon,27.57
Nalbari,25.70
Sivasagar,9.80
Sonitpur,7.79
Tinsukia,4.51
Udalguri,10.52
Araria,19.63
Arwal,38.56
Aurangabad,26.60
Banka,34.58
Begusarai,52.31
Bhabhua,33.19
Bhagalpur,27.48
Bhojpur,55.96
Buxar,51.55
Darbhanga,34.17
East Champaran,41.88
Gaya,65.75
Gopalganj,73.43
Jamui,31.95
Jehanabad,95.71
Katihar,63.72
Khagaria,32.34
Kishanganj,21.62
Lakhisarai,29.86
Madhepura,58.27
Madhubani,36.72
Munger,33.05
Muzaffarpur,67.55
Nalanda,68.84
Nawada,52.94
Patna,60.06
Purnia,55.21
Rohtas,24.29
Saharsa,40.81
Samastipur,47.25
Saran,63.69
Sheihkpura,38.36
Sheohar,57.95
Sitamarhi,45.90
Siwan,56.81
Supaul,35.31
Vaishali,62.28
West Champaran,22.55
Balod,64.79
Baloda Bazar,40.06
Balrampur,31.24
Bastar,26.10
Bemetara,78.06
Bijapur,7.03
Bilaspur,52.36
Dantewara,14.22
Dhamtari,63.78
Durg,82.55
Gariaband,52.14
Janjgir-Champa,47.23
Jashpur,39.09
Kanker,32.84
Kawardha,63.92
Kondagaon,38.88
Korba,35.85
Koriya,20.66
Mahasamund,59.48
Mungeli,54.35
Narayanpur,3.91
Raigarh,49.29
Raipur,62.64
Rajnandgaon,57.75
Sukma,5.07
Surajpur,54.08
Surguja,34.23
Central Delhi,80.84
East Delhi,108.45
New Delhi,159.42
North Delhi,84.00
North East Delhi,117.66
North West Delhi,69.65
Shahdara,166.99
South Delhi,254.87
South East Delhi,209.54
South West Delhi,209.25
West Delhi,90.03
Non Revenue Unit,69.57
North Goa,29.69
South Goa,39.22
Ahmedabad,72.01
Amreli,61.13
Anand,43.57
Arvalli,57.41
Banaskantha,112.34
Bharuch,33.23
Bhavnagar,59.53
Botad,62.87
Chhota udepur,48.05
Dahod,45.86
Dang,12.24
Devbhumi Dwarka,64.30
Gandhinagar,113.55
Gir Somnath,61.26
Jamnagar,63.27
Junagadh,64.25
Kachchh,83.87
Kheda,48.83
Mahesana,114.84
Mahisagar,38.73
Morbi,60.58
Narmada,19.37
Navsari,35.90
Panchmahal,36.55
Patan,100.80
Porbandar,71.33
Rajkot,64.52
Sabarkantha,70.05
Surat,27.35
Surendranagar,58.07
Tapi,42.86
Vadodara,57.91
Valsad,39.32
Ambala,100.55
Bhiwani,117.01
Charki Dadri,159.61
Faridabad,125.86
Fatehabad,161.43
Gurugram,220.80
Hisar,103.63
Jhajjar,61.74
Jind,129.63
Kaithal,227.88
Karnal,169.91
Kurukshetra,243.99
Mahendragarh,93.82
Mewat,99.81
Palwal,106.96
Panchkula,68.03
Panipat,187.78
Rewari,91.28
Rohtak,56.76
Sirsa,197.60
Sonipat,96.15
Yamunanagar,157.01
Indora,125.05
Nurpur,35.42
Balh,35.88
Paonta,22.30
Kala Amb,385.11
Nalagarh,116.58
Una,147.59
Hum,75.50
Anantnag,18.66
Kulgam,33.64
Pulwama,26.59
Shopian,29.14
Srinagar,32.02
Ganderbal,24.53
Budgam,29.28
Baramulla,29.61
Bandipora,50.29
Kupwara,22.47
Leh,18.66
Kargil,13.78
Jammu,31.53
Samba,29.96
Udhampur,38.81
Reasi,62.03
Kathua,31.45
Doda,31.13
Kishtwar,10.48
Ramban,11.31
Rajouri,41.56
Poonch,31.51
Bokaro,48.79
Chatra,30.20
Deoghar,42.25
Dhanbad,76.30
Dumka,24.26
East Singhbhum,19.90
Garhwa,25.44
Giridih,26.65
Godda,20.82
Gumla,11.91
Hazaribagh,35.17
Jamtara,30.98
Khunti,23.13
Koderma,38.35
Latehar,29.12
