District ,Block,Status,Arima Prediction,Expected
NORTH GOA,BARDEZ ,Safe,Downward trend ,Semi-Critical
NORTH GOA,BICHOLIM ,Safe,Downward trend ,Semi-Critical
SOUTH GOA,CANCONA ,Safe,Upward trend,Safe
NORTH GOA,PERNEM ,Safe,Downward trend ,Semi-Critical
NORTH GOA,PONDA ,Safe,Upward trend,Safe
SOUTH GOA,QUEPEM ,Safe,Downward trend ,Semi-Critical
SOUTH GOA,SALCETE ,Safe,Downward trend ,Semi-Critical
SOUTH GOA,SANGUEM ,Safe,Upward trend,Safe
NORTH GOA,SATARI ,Safe,Downward trend ,Semi-Critical
NORTH GOA,TISWADI ,Safe,Downward trend ,Semi-Critical
