District ,Block,Status,Arima Prediction,Expected
IDUKKI,ADIMALI ,Safe,Upward trend,Safe
ERNAKULAM,ALANGAD ,Safe,Upward trend,Safe
PALAKKAD,ALATHUR ,Safe,Upward trend,Safe
ALAPPUZHA,AMBALAPUZHA ,Safe,Upward trend,Safe
KOLLAM,ANCHAL ,Safe,Upward trend,Safe
ERNAKULAM,ANGAMALY ,Safe,Upward trend,Safe
THRISSUR,ANTHIKADU ,Safe,Upward trend,Safe
MALAPPURAM,AREEKODE ,Safe,Upward trend,Safe
IDUKKI,ARUDAI ,Safe,Upward trend,Safe
ALAPPUZHA,ARYAD ,Semi-critical,Upward trend,Safe
THIRUVANANTHAPURAM,ATHIYANNUR ,Safe,Upward trend,Safe
PALAKKAD,ATTAPADI ,Safe,Upward trend,Safe
KOZHIKODE,BALUSSERI ,Semi-critical,Upward trend,Safe
ALAPPUZHA,BHARANIKAVU ,Safe,Upward trend,Safe
KOLLAM,CHADAYAMANGALAM ,Safe,Upward trend,Safe
THRISSUR,CHALAKUDY ,Safe,Upward trend,Safe
ALAPPUZHA,CHAMPAKULAM ,Safe,Upward trend,Safe
THRISSUR,CHAVAKKAD ,Safe,Upward trend,Safe
KOLLAM,CHAVARA ,Safe,Upward trend,Safe
KOZHIKODE,CHELANNUR ,Safe,Upward trend,Safe
ALAPPUZHA,CHENGANNUR ,Safe,Upward trend,Safe
THRISSUR,CHERPU ,Safe,Upward trend,Safe
THIRUVANANTHAPURAM,CHIRAYINKIZH ,Semi-critical,Upward trend,Safe
KOLLAM,CHITTUMALA ,Safe,Upward trend,Safe
PALAKKAD,CHITTUR ,Over-exploited,Upward trend,Critical
THRISSUR,CHOWWANNUR ,Semi-critical,Upward trend,Safe
IDUKKI,DEVIKULAM ,Safe,Upward trend,Safe
KANNUR,EDAKKAD ,Safe,Upward trend,Safe
ERNAKULAM,EDAPALLY ,Safe,Upward trend,Safe
IDUKKI,ELAMDESOM ,Semi-critical,Upward trend,Safe
PATHANAMTHITTA,ELANTHOOR ,Safe,Upward trend,Safe
KOTTAYAM,ERATTUPETTA ,Safe,Downward trend,Safe
KOTTAYAM,ETTUMANOOR ,Safe,Upward trend,Safe
ALAPPUZHA,HARIPPAD ,Safe,Upward trend,Safe
IDUKKI,IDUKKI ,Safe,Upward trend,Safe
KANNUR,IRIKKUR ,Safe,Upward trend,Safe
THRISSUR,IRINJALAKUDA ,Safe,Upward trend,Safe
KANNUR,IRITTY ,Safe,Upward trend,Safe
KOLLAM,ITHIKKARA ,Safe,Upward trend,Safe
KOTTAYAM,KADUTHURUTHY ,Safe,Downward trend,Safe
MALAPPURAM,KALIKAVU ,Safe,Upward trend,Safe
KANNUR,KALLIASSERY ,Safe,Upward trend,Safe
WAYANAD,KALPETTA ,Safe,Upward trend,Safe
KASARGOD,KANHANGAD ,Semi-critical,Upward trend,Safe
ALAPPUZHA,KANJIKUZHY ,Safe,Upward trend,Safe
KOTTAYAM,KANJIRAPALLY ,Safe,Upward trend,Safe
KANNUR,KANNUR ,Semi-critical,Upward trend,Safe
KASARGOD,KARADKA ,Semi-critical,Upward trend,Safe
KASARGOD,KASARGOD ,Critical,Upward trend,Semi-critical
IDUKKI,KATTAPANA ,Semi-critical,Upward trend,Safe
THIRUVANANTHAPURAM,KILIMANOOR ,Safe,Upward trend,Safe
THRISSUR,KODAKARA ,Safe,Upward trend,Safe
KOZHIKODE,KODUVALY ,Safe,Upward trend,Safe
PATHANAMTHITTA,KOIPURAM ,Safe,Upward trend,Safe
PALAKKAD,KOLLENGODE ,Safe,Upward trend,Safe
MALAPPURAM,KONDOTTY ,Semi-critical,Upward trend,Safe
PATHANAMTHITTA,KONNI ,Safe,Upward trend,Safe
KANNUR,KOOTHUPARAMBA ,Safe,Upward trend,Safe
ERNAKULAM,KOOVAPADY ,Safe,Upward trend,Safe
ERNAKULAM,KOTHAMANGALAM ,Safe,Upward trend,Safe
KOLLAM,KOTTARAKARA ,Safe,Upward trend,Safe
KOZHIKODE,KOZHIKODE ,Semi-critical,Upward trend,Safe
KOZHIKODE,KUNNAMANGALAM ,Safe,Upward trend,Safe
KOZHIKODE,KUNNUMMAL ,Safe,Upward trend,Safe
MALAPPURAM,KUTTIPPURAM ,Semi-critical,Upward trend,Safe
PALAKKAD,KUZHALMANNAM ,Safe,Upward trend,Safe
KOTTAYAM,LALAM ,Safe,Upward trend,Safe
KOTTAYAM,MADAPALLY ,Safe,Upward trend,Safe
THRISSUR,MALA ,Safe,Upward trend,Safe
PALAKKAD,MALAMPUZHA ,Critical,Upward trend,Semi-critical
PATHANAMTHITTA,MALAPALLY ,Semi-critical,Downward trend,Safe
MALAPPURAM,MALAPPURAM ,Safe,Upward trend,Safe
WAYANAD,MANANTHAVADY ,Safe,Upward trend,Safe
KASARGOD,MANJESHWAR ,Semi-critical,Upward trend,Safe
MALAPPURAM,MANKADA ,Safe,Upward trend,Safe
PALAKKAD,MANNARKAD ,Safe,Upward trend,Safe
THRISSUR,MATHILAKAM ,Semi-critical,Upward trend,Safe
