State,Stage of Ground Water Development (%)
HARYANA,135.3290909
GUJARAT,58.96212121
GOA,97.14560606
DELHI,135.0225
CHHATTISGARH,43.39259259
BIHAR,46.26657895
ASSAM,14.49518519
ARUNACHAL PRADESH,0.5781818182
ANDHRA PRADESH,43.92153846
PUDUCHERRY,19.66496849
LAKSHADWEEP,51.0499192
CHANDIGARH,89
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,31.34
ANDAMAN AND NICOBAR ISLANDS,3.483333333
WEST BENGAL,42.17647059
UTTARAKHAND,53.17
UTTAR PRADESH,73.098
TRIPURA,7.95625
TELANGANA,75.64612903
TAMIL NADU,87.170625
SIKKIM,0.1675
RAJASTHAN,137.5257576
PUNJAB,158.4190909
ODISHA,42.021
NAGALAND,1.214545455
MIZORAM,4.71875
MEGHALAYA,58.28251345
MANIPUR,57.31221614
MAHARASHTRA,49.97
MADHYA PRADESH,54.08058824
KARNATAKA,75.89566667
KERALA,50
JHARKHAND,29.55291667
JAMMU AND KASHMIR,29.47454545
LADAKH,29.47454545
HIMACHAL PRADESH,117.92875
