DISTRICT,BLOCK,Status,Arima Prediction,Expected
KANNIYAKUMARI,AGASTHEESWARAM,,Upward Trend,
MADURAI,ALANGANALLUR,Safe,Downward Trend,Semi-critical
VELLORE,ALANGAYAM,Over-exploited,Upward Trend,Critical
TIRUNELVELI,ALANGULAM,Critical,Downward Trend,Over-exploited
PERAMBALUR,ALATHUR,Safe,Upward Trend,Safe
THOOTHUKKUDI,ALWARTHIRUNAGIRI,Safe,Downward Trend,Semi-critical
TIRUNELVELI,AMBASAMUDRAM,Safe,Upward Trend,safe
ERODE,AMMAPET,Over-exploited,Downward Trend,Over-exploited
THANJAVUR,AMMAPETTAI,Critical,Downward Trend,Over-exploited
VELLORE,ANAICUT,Over-exploited,Upward Trend,Critical
COIMBATORE,ANAIMALAI,Over-exploited,Upward Trend,Critical
TIRUVANNAMALAI,ANAKAVUR,Critical,Downward Trend,Over-exploited
THENI,ANDIPATTI,Critical,Downward Trend,Over-exploited
PUDUKKOTTAI,ANNAVASAL,Safe,Upward Trend,Safe
COIMBATORE,ANNUR,Over-exploited,Downward Trend,Over-exploited
ERODE,ANTHIYUR,Over-exploited,Downward Trend,Over-exploited
VELLORE,ARAKONAM,Safe,Upward Trend,Safe
TIRUVANNAMALAI,ARANI,Safe,Upward Trend,Safe
PUDUKKOTTAI,ARANTHANGI,Safe,Upward Trend,Safe
KARUR,ARAVAKURICHI,Safe,Upward Trend,Safe
VELLORE,ARCOT,Over-exploited,Upward Trend,Critical
ARIYALUR,ARIYALUR,Safe,Upward Trend,Safe
VIRUDUNAGAR,ARUPPUKKOTTAI,Safe,Upward Trend,Safe
DINDIGUL,ATTUR,Over-exploited,Downward Trend,Over-exploited
TIRUPPUR,AVANASHI,,Upward Trend,
PUDUKKOTTAI,AVUDAYARKOIL,,Upward Trend,
SALEM,AYODHIAPATTINAM,,Upward Trend,
CUDDALORE,BARGUR,Over-exploited,Upward Trend,Critical
KRISHNAGIRI,BARGUR,Over-exploited,Upward Trend,Critical
ERODE,BHAVANI,Semi-Critical,Downward Trend,Critical
ERODE,BHAVANISAGAR,Over-exploited,Upward Trend,Critical
CUDDALORE,BHUVANAGIRI,Safe,Downward Trend,Semi-Critical
THENI,BODINAYAKANUR,Safe,Upward Trend,Safe
THANJAVUR,BUDALUR,Semi-critical,Upward Trend,Safe
MADURAI,CHELLAMPATTI,,Downward Trend,
TIRUVANNAMALAI,CHENGAM,Over-exploited,Downward Trend,Over-exploited
CHENNAI,CHENNAI,Over-exploited,Downward Trend,Over-exploited
ERODE,CHENNIMALAI,Over-exploited,Upward Trend,Critical
TIRUNELVELI,CHERANMADEVI,,Upward Trend,
TIRUVANNAMALAI,CHETPET,,Upward Trend,
TIRUVANNAMALAI,CHEYYAR,Over-exploited,Upward Trend,Critical
VILUPPURAM,CHINNA SALEM,,Upward Trend,
THENI,CHINNAMANUR,Safe,Upward Trend,Safe
KANCHEEPURAM,CHITHAMUR,Semi-critical,Upward Trend,Safe
COIMBATORE,COIMBATORE SOUTH,,Downward Trend,
THE NILGIRIS,COONOOR,Safe,Upward Trend,Safe
CUDDALORE,CUDDALORE,Safe,Downward Trend,Semi-critical
SIVAGANGA,DEVAIKKOTTAI,,Upward Trend,
TIRUPPUR,DHARAPURAM,Semi-critical,Downward Trend,Critical
DHARMAPURI,DHARMAPURI,Semi-critical,Downward Trend,Critical
DINDIGUL,DINDIGUL,Over-exploited,Downward Trend,Over-exploited
SALEM,EDAPPADI,Over-exploited,Upward Trend,Critical
NAMAKKAL,ELAICHIPALAYAM,,Upward Trend,
ERODE,ERODE,Over-exploited,Upward Trend,Critical
PUDUKKOTTAI,GANDARVAKKOTTAI,,Upward Trend,
SALEM,GANGAVALLI,Over-exploited,Downward Trend,Over-exploited
VILUPPURAM,GINGEE,,Upward Trend,
ERODE,GOBICHETTIPALAYAM,Safe,Downward Trend,Semi-critical
THE NILGIRIS,GUDALUR,Safe,Upward Trend,Safe
TIRUPPUR,GUDIMANGALAM,Over-exploited,Upward Trend,Critical
VELLORE,GUDIYATHAM,Over-exploited,Upward Trend,Critical
THIRUVALLUR,GUMMIDIPOONDI,Safe,Upward Trend,Safe
DINDIGUL,GUZILIAMPARAI,,Downward Trend,
DHARMAPURI,HARUR,Semi-critical,Downward Trend,Critical
KRISHNAGIRI,HOSUR,Over-exploited,Downward Trend,Over-exploited
SIVAGANGA,ILAYANKUDI,,Upward Trend,
TIRUVANNAMALAI,JAWATHU HILLS,,Downward Trend,
ARIYALUR,JAYANKONDAM,Safe,Upward Trend,Safe
VELLORE,JOLARPET,,Upward Trend,
KARUR,K.PARAMATHY,Over-exploited,Upward Trend,Critical
VELLORE,K.V. KUPPAM,,Upward Trend,
NAMAKKAL,KABILAMALAI,,Upward Trend,
RAMANATHAPURAM,KADALADI,Saline,Upward Trend,NA
THIRUVALLUR,KADAMBATTUR,,Upward Trend,
KARUR,KADAVUR,Over-exploited,Upward Trend,Critical
TIRUNELVELI,KADAYAM,,Downward Trend,
SALEM,KADAYAMPATTI,Over-exploited,Downward Trend,Over-exploited
TIRUNELVELI,KADAYANALLUR,Critical,Downward Trend,Over-exploited
TIRUNELVELI,KALAKKAD,,Upward Trend,
KANNIYAKUMARI,KALKULAM,,Downward Trend,
VILUPPURAM,KALLAKKURICHI,,Upward Trend,
MADURAI,KALLLIKUDI,,Downward Trend,
CUDDALORE,KAMMAPURAM,Over-exploited,Downward Trend,Over-exploited
RAMANATHAPURAM,KAMUTHI,Safe,Upward Trend,Safe
KANCHEEPURAM,KANCHEEPURAM,Safe,Upward Trend,Safe
VELLORE,KANDILI,,Upward Trend,
TIRUPPUR,KANGEYAM,Over-exploited,Upward Trend,Critical
SIVAGANGA,KARAIKUDI,Safe,Upward Trend,Safe
COIMBATORE,KARAMADAI,"
Semi-critical
",Upward Trend,Safe
PUDUKKOTTAI,KARAMBAKKUDI,,Upward Trend,
VIRUDUNAGAR,KARIAPATTI,,Upward Trend,
DHARMAPURI,KARIMANGALAM,Over-exploited,Downward Trend,Over-exploited
THOOTHUKKUDI,KARUNKULAM,,Upward Trend,
KARUR,KARUR,Over-exploited,Upward Trend,Critical
VELLORE,KATPADI,Over-exploited,Upward Trend,Critical
KANCHEEPURAM,KATTANKOLATTUR,,Upward Trend,
CUDDALORE,KATTUMANNARKOIL,Safe,Upward Trend,Safe
VELLORE,KAVERIPAKKAM,,Upward Trend,
THOOTHUKKUDI,KAYATHARU,,Downward Trend,
NAGAPPATTINAM,KEELAIYUR,Saline,Upward Trend,NA
CUDDALORE,KEERAPALAYAM,,Upward Trend,
KRISHNAGIRI,KELAMANGALAM,Semi-critical,Upward Trend,Safe
NAGAPPATTINAM,KILVELUR,Saline,Upward Trend,NA
COIMBATORE,KINATHUKADAVU,,Downward Trend,
DINDIGUL,KODAIKANAL,,Upward Trend,
THIRUVARUR,KODAVASAL,Over-exploited,Upward Trend,Critical
ERODE,KODUMUDI,Over-exploited,Upward Trend,Critical
SALEM,KOLATHUR,Semi-critical,Upward Trend,Safe
NAGAPPATTINAM,KOLLIDAM,,Upward Trend,
CUDDALORE,KOMARATCHI,,Upward Trend,
THE NILGIRIS,KOTAGIRI,Safe,Upward Trend,Safe
MADURAI,KOTTAMPATTI,Over-exploited,Downward Trend,Over-exploited
THOOTHUKKUDI,KOVILPATTI,Safe,Upward Trend,Safe
KRISHNAGIRI,KRISHNAGIRI,Over-exploited,Downward Trend,Over-exploited
KARUR,KRISHNARAYAPURAM,,Upward Trend,
PUDUKKOTTAI,KULATHUR,Safe,Upward Trend,Safe
THANJAVUR,KUMBAKONAM,Over-exploited,Upward Trend,Critical
TIRUPPUR,KUNDADAM,Over-exploited,Upward Trend,Critical
KANCHEEPURAM,KUNDRATHUR,,Upward Trend,
PUDUKKOTTAI,KUNNANDARKOVIL,,Downward Trend,
CUDDALORE,KURINJIPADI,Safe,Downward Trend,Semi-critical
TIRUNELVELI,KURIVIKULAM,,Upward Trend,
NAGAPPATTINAM,KUTHALAM,,Upward Trend,
TIRUCHIRAPPALLI,LALGUDI,Safe,Upward Trend,Safe
TIRUPPUR,MADATHUKULAM,Safe,Upward Trend,Safe
VELLORE,MADHANUR,Over-exploited,Upward Trend,Critical
THANJAVUR,MADUKKUR,Over-exploited,Upward Trend,Critical
MADURAI,MADURAI EAST,Semi-critical,Downward Trend,Critical
MADURAI,MADURAI NORTH,,Upward Trend,
MADURAI,MADURAI SOUTH,,Downward Trend,
MADURAI,MADURAI WEST,Critical,Upward Trend,Semi-critical
KANCHEEPURAM,MADURANTHAKAM,,Upward Trend,
VILUPPURAM,MAILAM,Over-exploited,Upward Trend,Critical
NAMAKKAL,MALLASAMUDRAM,Over-exploited,Downward Trend,Over-exploited
TIRUCHIRAPPALLI,MANACHANALLUR,,Downward Trend,
SIVAGANGA,MANAMADURAI,Safe,Upward Trend,Safe
PUDUKKOTTAI,MANAMELKUDI,Safe,Upward Trend,Safe
TIRUCHIRAPPALLI,MANAPPARAI,Over-exploited,Upward Trend,Critical
RAMANATHAPURAM,MANDAPAM,Safe,Upward Trend,Safe
CUDDALORE,MANGALUR,,Upward Trend,
THIRUVARUR,MANNARGUDI,Safe,Downward Trend,Semi-critical
TIRUNELVELI,MANUR,Semi-critical,Downward Trend,Critical
KANCHEEPURAM,MARAKKANAM,,Downward Trend,
TIRUCHIRAPPALLI,MARUNGAPURI,Over-exploited,Upward Trend,Critical
KRISHNAGIRI,MATHUR,Over-exploited,Downward Trend,Over-exploited
NAGAPPATTINAM,MAYILADUTHURAI,Over-exploited,Upward Trend,Critical
SALEM,MECHERI,Over-exploited,Upward Trend,Critical
TIRUNELVELI,MELANEELITHANALLUR,,Upward Trend,
VILUPPURAM,MELMALAYANUR,Over-exploited,Upward Trend,Critical
MADURAI,MELUR,Safe,Downward Trend,Semi-critical
SALEM,METTUR,Over-exploited,Downward Trend,Over-exploited
THIRUVALLUR,MINJUR,Saline,Upward Trend,NA
ERODE,MODAKURICHI,Over-exploited,Downward Trend,Over-exploited
NAMAKKAL,MOHANUR,Over-exploited,Upward Trend,Critical
DHARMAPURI,MORAPPUR,Critical,Upward Trend,Semi-critical
RAMANATHAPURAM,MUDUKULATHUR,Safe,Upward Trend,Safe
VILUPPURAM,MUGAIYUR,Semi-critical,Upward Trend,Safe
TIRUPPUR,MULANUR,Over-exploited,Downward Trend,Over-exploited
